sheet_row,provider_slug,category,product_name,gross_rate_pct,intelisys_supported,sandler_supported,telarus_supported,appdirect_supported,appdirect_saas_supported,candid_net_intelisys,candid_net_sandler,candid_net_telarus,candid_net_appdirect_telco,candid_net_appdirect_saas,customer_preview_pct,note,renewal_scope,pays_on_renewals,payment_basis,paid_on_basis,evergreen_strength,first_commission_timing,upfront_summary,exclusions_summary,partner_network,term_length,partner_terms_raw
1578,wireless-mettel,Mobility,SD-M,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1579,wireless-mettel,Mobility,SD-WAN (30MB/50MB/100MB/200MB/400MB/1GB),,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,one_time_upfront,with_risk,,,,n/a,All,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""One-Time Commission Upfront"", ""term"": ""All"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1580,wireless-mettel,Mobility,SIP LD Minute Usage Plans,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,one_time_upfront,with_risk,,,,n/a,2 Year,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""One-Time Commission Upfront"", ""term"": ""2 Year"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1581,wireless-mettel,Mobility,SIP Trunking,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,one_time_upfront,with_risk,,,,n/a,2 Year,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""One-Time Commission Upfront"", ""term"": ""2 Year"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1582,wireless-mettel,Mobility,Smartphone,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1583,wireless-mettel,Mobility,Structured Cabling Projects (One-time charges; excludes ordinary inside wiring),,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1584,wireless-mettel,Mobility,Traditional Voice (TDM),,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,one_time_fixed,with_risk,,,,n/a,All,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""One-Time Fixed Commission"", ""term"": ""All"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1585,wireless-mettel,Mobility,TrueUC License,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1586,wireless-mettel,Mobility,Unlimited Gold License,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1587,wireless-mettel,Mobility,Unlimited Silver License,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1588,wireless-mettel,Mobility,Voice & Data,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,one_time_fixed,with_risk,,,,n/a,All,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""One-Time Fixed Commission"", ""term"": ""All"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1589,wireless-mettel,Mobility,Voicemail,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1590,wireless-mettel,Mobility,Wholesale POTS Bundle,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,ld_all,with_risk,,,,n/a,All,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}, ""telarus"": {""paid_on"": ""LD All"", ""term"": ""All"", ""network"": ""n/a"", ""notes"": ""Refer to your back office for potential exceptions to Supplier base commission percentages""}}"
1591,wireless-mettel,Mobility,Wi-Fi (Standard/Premium),,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1592,wireless-mettel,Mobility,Wi-Fi Analytics,,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1593,wireless-mettel,Mobility,Wi-Fi Help Desk (1-50users/51-100users/101-250users),,true,true,true,true,,,,,,,,,renewals_at_standard_rate,true,collected,,with_risk,,,,,,"{""sandler"": {""evergreen_strength"": ""Evergreen With Risk"", ""upfront_commissions"": null, ""notes"": null, ""pay_on_renewals"": ""Yes, 100% standard rate. Partners must actively renew or upgrade a customer in order to continue receiving commissions."", ""commission_method"": ""Collected"", ""estimated_first_commission"": null}}"
1594,wireless-t-mobile,Mobility,Partner Generated - Eligible Rate Plan & Partner Facilitaded - Government Rate Plan - Up to 46 Months,10.0,false,true,true,true,,,0.08,0.085,0.085,,0.017,"4x Total MRC
46 - 48 months paid out",no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1595,wireless-t-mobile,Mobility,Partner Generated - HSI Rate Plan & Partner Facilitaded - Government HSI Rate Plan - Up to 46 Months,10.0,false,true,true,true,,,0.08,0.085,0.085,,0.017,"5x Total MRC
46 - 48 months paid out",no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1596,wireless-t-mobile,Mobility,Partner Generated ANS Opportunity & Direct Led ANS Opportunity,7.0,false,true,true,true,,,0.056,0.0595,0.0595,,0.0119,*10% Residual (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1597,wireless-t-mobile,Mobility,Partner Teaming – Control Center Activations - 48 Months,10.0,false,true,true,true,,,0.08,0.085,0.085,,0.017,3x MRC (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1598,wireless-t-mobile,Mobility,TFB Direct Led Hardware/MDM – Equipment & MDM,,false,true,true,true,,,20.0,21.25,21.25,,4.25,*10% Residual (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1599,wireless-t-mobile,Mobility,TFB Direct Led Hardware/MDM – Equipment Only,,false,true,true,true,,,16.0,17.0,17.0,,3.4,*10% Residual (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1600,wireless-t-mobile,Mobility,TFB Direct Led Hardware/MDM – MDM Software Only,,false,true,true,true,,,4.0,4.25,4.25,,0.85,*10% Residual (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1601,wireless-t-mobile,Mobility,TFB Direct Led VAS – Eligible Rate Plan & Government Rate Plan - Up to 46 Months,10.0,false,true,true,true,,,0.08,0.085,0.085,,0.017,2x MRC (46 - 48 months paid out),no_renewal_pay,false,billed,,none,,,,,,"{""sandler"": {""evergreen_strength"": ""No Evergreen"", ""upfront_commissions"": null, ""notes"": ""Please email commissions@sandlerpartners.com to confirm."", ""pay_on_renewals"": ""No."", ""commission_method"": ""Billed"", ""estimated_first_commission"": null}}"
1602,wireless-verizon,Mobility,**New Activation and 24 months MAX,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1603,wireless-verizon,Mobility,$0.01 - $0.99 Postpay Service Monthly ALP or LLP Access Fees,,true,true,true,true,,8.0,8.0,8.5,8.5,,1.7,,,,,,,,,,,,{}
1604,wireless-verizon,Mobility,$1.00 - $4.99 Postpay Service Monthly ALP or LLP Access Fees,,true,true,true,true,,8.0,8.0,8.5,8.5,,1.7,,,,,,,,,,,,{}
1605,wireless-verizon,Mobility,$5.00 - $24.99 Postpay Service Monthly ALP or LLP Access Fees,,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1606,wireless-verizon,Mobility,$25.00+ Postpay Service Monthly ALP or LLP Access Fees,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1607,wireless-verizon,Mobility,4G Wireless Broadplan MRC $25+ Upfront,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1608,wireless-verizon,Mobility,5G Business Internet Plan - Upfront,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1609,wireless-verizon,Mobility,10 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1610,wireless-verizon,Mobility,20 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1611,wireless-verizon,Mobility,25 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1612,wireless-verizon,Mobility,50 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1613,wireless-verizon,Mobility,50GB,,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1614,wireless-verizon,Mobility,100 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1615,wireless-verizon,Mobility,200 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1616,wireless-verizon,Mobility,400 Mbps,,true,true,true,true,,296.0,296.0,314.5,314.5,,62.9,,,,,,,,,,,,{}
1617,wireless-verizon,Mobility,AMF (Account Maintenance Fees),5.0,true,true,true,true,,0.04,0.04,0.0425,0.0425,,0.0085,,,,,,,,,,,,{}
1618,wireless-verizon,Mobility,Business Internet Secure 5 Pack,,true,true,true,true,,48.0,48.0,51.0,51.0,,10.2,,,,,,,,,,,,{}
1619,wireless-verizon,Mobility,Business Internet Secure 10 Pack,,true,true,true,true,,84.0,84.0,89.25,89.25,,17.85,,,,,,,,,,,,{}
1620,wireless-verizon,Mobility,Business Internet Secure 25 Pack,,true,true,true,true,,180.0,180.0,191.25,191.25,,38.25,,,,,,,,,,,,{}
1621,wireless-verizon,Mobility,Business Mobile Secure Plus (My Biz),,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1622,wireless-verizon,Mobility,Business Unlimited Laptop Plan,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1623,wireless-verizon,Mobility,Business Unlimited Pro Laptop,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1624,wireless-verizon,Mobility,Business Unlimited Start Laptop,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1625,wireless-verizon,Mobility,Business Unlimited Tablet Pro,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1626,wireless-verizon,Mobility,Business Unlimited Tablet Start,,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1627,wireless-verizon,Mobility,Canvas GoCanvas Employee Toolkit,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1628,wireless-verizon,Mobility,Canvas GoCanvas Professional Tiered,,true,true,true,true,,12.0,12.0,12.75,12.75,,2.55,,,,,,,,,,,,{}
1629,wireless-verizon,Mobility,"Canvas Monthly Recurring Charge – Business, Start Up",,true,true,true,true,,12.0,12.0,12.75,12.75,,2.55,,,,,,,,,,,,{}
1630,wireless-verizon,Mobility,Canvas Monthly Recurring Charge – Professional,,true,true,true,true,,20.0,20.0,21.25,21.25,,4.25,,,,,,,,,,,,{}
1631,wireless-verizon,Mobility,Digital Agent Verizon 4G Business Internet Plan,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1632,wireless-verizon,Mobility,Digital Agent Verizon 5G Business Internet Plan,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1633,wireless-verizon,Mobility,Do Forms Advanced,,true,true,true,true,,9.6,9.6,10.2,10.2,,2.04,,,,,,,,,,,,{}
1634,wireless-verizon,Mobility,Do Forms Premium,,true,true,true,true,,12.8,12.8,13.6,13.6,,2.72,,,,,,,,,,,,{}
1635,wireless-verizon,Mobility,Do Forms Standard,,true,true,true,true,,6.4,6.4,6.8,6.8,,1.36,,,,,,,,,,,,{}
1636,wireless-verizon,Mobility,DVR-2Sides (CAPEX Sub),,true,true,true,true,,96.0,96.0,102.0,102.0,,20.4,,,,,,,,,,,,{}
1637,wireless-verizon,Mobility,DVR-2Sides Subscription,,true,true,true,true,,96.0,96.0,102.0,102.0,,20.4,,,,,,,,,,,,{}
1638,wireless-verizon,Mobility,DVR-Rear-2Sides (CAPEX Sub),,true,true,true,true,,160.0,160.0,170.0,170.0,,34.0,,,,,,,,,,,,{}
1639,wireless-verizon,Mobility,DVR-Rear-2Sides Subscription,,true,true,true,true,,160.0,160.0,170.0,170.0,,34.0,,,,,,,,,,,,{}
1640,wireless-verizon,Mobility,DVR-Rear-Cargo (CAPEX Sub),,true,true,true,true,,128.0,128.0,136.0,136.0,,27.2,,,,,,,,,,,,{}
1641,wireless-verizon,Mobility,DVR-Rear-Cargo Subscription,,true,true,true,true,,128.0,128.0,136.0,136.0,,27.2,,,,,,,,,,,,{}
1642,wireless-verizon,Mobility,DVR-Rear-Cargo-2Sides (CAPEX Sub),,true,true,true,true,,192.0,192.0,204.0,204.0,,40.8,,,,,,,,,,,,{}
1643,wireless-verizon,Mobility,DVR-Rear-Cargo-2Sides Subscription,,true,true,true,true,,192.0,192.0,204.0,204.0,,40.8,,,,,,,,,,,,{}
1644,wireless-verizon,Mobility,eFax Pro,,true,true,true,true,,32.0,32.0,34.0,34.0,,6.8,,,,,,,,,,,,{}
1645,wireless-verizon,Mobility,eFax Select,,true,true,true,true,,8.0,8.0,8.5,8.5,,1.7,,,,,,,,,,,,{}
1646,wireless-verizon,Mobility,eFax Standard,,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1647,wireless-verizon,Mobility,Enterprise Choice Unlimited BYOD,,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1648,wireless-verizon,Mobility,Enterprise Choice Unlimited Essentials (2YR),,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1649,wireless-verizon,Mobility,Enterprise Choice Unlimited Essentials (3YR),,true,true,true,true,,80.0,80.0,85.0,85.0,,17.0,,,,,,,,,,,,{}
1650,wireless-verizon,Mobility,Enterprise Choice Unlimited Plus (2YR),,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1651,wireless-verizon,Mobility,Enterprise Choice Unlimited Plus (3YR),,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1652,wireless-verizon,Mobility,Enterprise Choice Unlimited Preferred (2YR),,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1653,wireless-verizon,Mobility,Enterprise Choice Unlimited Preferred (3YR),,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1654,wireless-verizon,Mobility,Enterprise Choice Unlimited Standard (2YR),,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1655,wireless-verizon,Mobility,Enterprise Choice Unlimited Standard (3YR),,true,true,true,true,,120.0,120.0,127.5,127.5,,25.5,,,,,,,,,,,,{}
1656,wireless-verizon,Mobility,Enterprise Choice Unlimited Value (2YR),,true,true,true,true,,40.0,40.0,42.5,42.5,,8.5,,,,,,,,,,,,{}
1657,wireless-verizon,Mobility,Enterprise Choice Unlimited Value (3YR),,true,true,true,true,,80.0,80.0,85.0,85.0,,17.0,,,,,,,,,,,,{}
1658,wireless-verizon,Mobility,ExtVCam - DVR-Rear (CAPEX Sub),,true,true,true,true,,96.0,96.0,102.0,102.0,,20.4,,,,,,,,,,,,{}
1659,wireless-verizon,Mobility,ExtVCam - DVR-Rear Subscription,,true,true,true,true,,96.0,96.0,102.0,102.0,,20.4,,,,,,,,,,,,{}
1660,wireless-verizon,Mobility,Fax Services,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1661,wireless-verizon,Mobility,Feature - International Long Distance Calling - Asia Pacific (My Biz),,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1662,wireless-verizon,Mobility,Feature - International Long Distance Calling - Europe (My Biz),,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1663,wireless-verizon,Mobility,Feature - International Long Distance Calling - Latin America (My Biz),,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1664,wireless-verizon,Mobility,Google G-Suite Workspace Business Plus,,true,true,true,true,,21.6,21.6,22.95,22.95,,4.59,,,,,,,,,,,,{}
1665,wireless-verizon,Mobility,Google G-Suite Workspace Business Standard,,true,true,true,true,,11.2,11.2,11.9,11.9,,2.38,,,,,,,,,,,,{}
1666,wireless-verizon,Mobility,Google G-Suite Workspace Business Standard (My Biz),,true,true,true,true,,32.0,32.0,34.0,34.0,,6.8,,,,,,,,,,,,{}
1667,wireless-verizon,Mobility,Google G-Suite Workspace Business Starter,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1668,wireless-verizon,Mobility,Google G-Suite Workspace Enterprise Essentials,,true,true,true,true,,9.6,9.6,10.2,10.2,,2.04,,,,,,,,,,,,{}
1669,wireless-verizon,Mobility,Google G-Suite Workspace Enterprise Standard,,true,true,true,true,,24.0,24.0,25.5,25.5,,5.1,,,,,,,,,,,,{}
1670,wireless-verizon,Mobility,Google GSuite Basic,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1671,wireless-verizon,Mobility,Google GSuite Business,,true,true,true,true,,12.0,12.0,12.75,12.75,,2.55,,,,,,,,,,,,{}
1672,wireless-verizon,Mobility,Google GSuite Cloud Identity Premium,,true,true,true,true,,2.4,2.4,2.55,2.55,,0.51,,,,,,,,,,,,{}
1673,wireless-verizon,Mobility,Google GSuite Enterprise,,true,true,true,true,,36.0,36.0,38.25,38.25,,7.65,,,,,,,,,,,,{}
1674,wireless-verizon,Mobility,Google Workspace G Suite Enterprise Plus,,true,true,true,true,,36.0,36.0,38.25,38.25,,7.65,,,,,,,,,,,,{}
1675,wireless-verizon,Mobility,International,,true,true,true,true,,,,,,,,,,,,,,,,,,,{}
1676,wireless-verizon,Mobility,International Connectivity (My Biz),,true,true,true,true,,32.0,32.0,34.0,34.0,,6.8,,,,,,,,,,,,{}
1677,wireless-verizon,Mobility,Lookout Comprehensive/Dev with Phishing (3 Year & Annual)*,,true,true,true,true,,20.0,20.0,21.25,21.25,,4.25,,,,,,,,,,,,{}
1678,wireless-verizon,Mobility,Lookout Comprehensive/User with Phishing (3 Year & Annual)*,,true,true,true,true,,20.0,20.0,21.25,21.25,,4.25,,,,,,,,,,,,{}
1679,wireless-verizon,Mobility,Lookout MES Comprehensive 1 Year per Device/User*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1680,wireless-verizon,Mobility,Lookout MES Comprehensive 3 Year per Device/User*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1681,wireless-verizon,Mobility,Lookout MES Threats 1 Year per Device/User*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1682,wireless-verizon,Mobility,Lookout MES Threats 3 Year per Device/User*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1683,wireless-verizon,Mobility,Lookout Premium Plus Support/Device (3 Year & Annual)*,,true,true,true,true,,1.6,1.6,1.7,1.7,,0.34,,,,,,,,,,,,{}
1684,wireless-verizon,Mobility,Lookout Premium Plus Support/User (3 Year & Annual)*,,true,true,true,true,,1.6,1.6,1.7,1.7,,0.34,,,,,,,,,,,,{}
1685,wireless-verizon,Mobility,Lookout Premium Support 1 & 3 Year per Device/User*,,true,true,true,true,,1.6,1.6,1.7,1.7,,0.34,,,,,,,,,,,,{}
1686,wireless-verizon,Mobility,Lookout Premium Support/Device (3 Year & Annual)*,,true,true,true,true,,1.6,1.6,1.7,1.7,,0.34,,,,,,,,,,,,{}
1687,wireless-verizon,Mobility,Lookout Premium Support/User (3 Year & Annual)*,,true,true,true,true,,1.6,1.6,1.7,1.7,,0.34,,,,,,,,,,,,{}
1688,wireless-verizon,Mobility,Lookout Small Bus. Device & User with Phishing*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1689,wireless-verizon,Mobility,Lookout Threats/Device w Phishing (3 Year & Annual)*,,true,true,true,true,,5.6,5.6,5.95,5.95,,1.19,,,,,,,,,,,,{}
1690,wireless-verizon,Mobility,Lookout Threats/User w Phishing (3 Year & Annual)*,,true,true,true,true,,20.0,20.0,21.25,21.25,,4.25,,,,,,,,,,,,{}
1691,wireless-verizon,Mobility,MaaS360 Deluxe Suite per Device,,true,true,true,true,,8.0,8.0,8.5,8.5,,1.7,,,,,,,,,,,,{}
1692,wireless-verizon,Mobility,MaaS360 Deluxe Suite per User,,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1693,wireless-verizon,Mobility,MaaS360 Enterprise Suite per Device,,true,true,true,true,,14.4,14.4,15.3,15.3,,3.06,,,,,,,,,,,,{}
1694,wireless-verizon,Mobility,MaaS360 Enterprise Suite per User,,true,true,true,true,,28.8,28.8,30.6,30.6,,6.12,,,,,,,,,,,,{}
1695,wireless-verizon,Mobility,MaaS360 Essentials Suite per Device,,true,true,true,true,,4.8,4.8,5.1,5.1,,1.02,,,,,,,,,,,,{}
1696,wireless-verizon,Mobility,MaaS360 Essentials Suite per User,,true,true,true,true,,9.6,9.6,10.2,10.2,,2.04,,,,,,,,,,,,{}
1697,wireless-verizon,Mobility,MaaS360 Exchange Online- Plan 1,,true,true,true,true,,3.2,3.2,3.4,3.4,,0.68,,,,,,,,,,,,{}
1698,wireless-verizon,Mobility,MaaS360 IBM Wandera Data Management Authorized User,,true,true,true,true,,16.0,16.0,17.0,17.0,,3.4,,,,,,,,,,,,{}
1699,wireless-verizon,Mobility,MaaS360 IBM Wandera Data Management Client Device,,true,true,true,true,,8.0,8.0,8.5,8.5,,1.7,,,,,,,,,,,,{}
1700,wireless-verizon,Mobility,MaaS360 IBM Wandera Mobile Security & Policy Authorized User,,true,true,true,true,,24.0,24.0,25.5,25.5,,5.1,,,,,,,,,,,,{}
